"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"33",0.0625,0.1489,0.2101,0.1248,0.3261,0.1799,0.3394,0.1948,0.1476,0.0095
"34",0.1997,0.3256,0.4509,0.4065,0.631,0.4661,0.5391,0.5012,0.4998,0.0645
"35",0.0866,0.1744,0.2644,0.1612,0.4041,0.2409,0.3903,0.2614,0.2164,0.016
"36",0.2981,0.4717,0.564,0.6206,0.7399,0.6036,0.6197,0.6407,0.6698,0.1325
"37",0.1205,0.2155,0.3299,0.2255,0.491,0.3181,0.4461,0.3449,0.3105,0.0274
"38",0.1763,0.2917,0.4188,0.3513,0.5964,0.4265,0.5153,0.46,0.449,0.052
"39",0.0815,0.1688,0.2536,0.1529,0.389,0.2285,0.3805,0.2479,0.202,0.0145
"40",0.1526,0.2582,0.3833,0.2959,0.556,0.3829,0.4884,0.4141,0.393,0.0406
"41",0.1396,0.2406,0.3626,0.2666,0.5313,0.3576,0.4722,0.3872,0.3605,0.035
"42",0.2086,0.3388,0.4626,0.4275,0.6432,0.4804,0.5476,0.516,0.5181,0.0696
"43",0.2926,0.4637,0.5585,0.6101,0.735,0.597,0.6159,0.6342,0.6621,0.128
"44",0.1158,0.2094,0.3214,0.2158,0.4801,0.3079,0.4391,0.3339,0.2977,0.0256
"45",0.1847,0.3039,0.4307,0.3711,0.6094,0.4411,0.5242,0.4752,0.4678,0.0563
"46",0.2658,0.424,0.5303,0.5558,0.7095,0.5631,0.596,0.6002,0.6213,0.1074
"47",0.1379,0.2383,0.3598,0.2629,0.528,0.3542,0.47,0.3836,0.3562,0.0343
"48",0.17,0.2827,0.4097,0.3364,0.5862,0.4153,0.5085,0.4482,0.4346,0.0488
"49",0.2267,0.3657,0.4852,0.4695,0.6662,0.5082,0.564,0.5445,0.5532,0.0807
"50",0.3032,0.4792,0.5691,0.6304,0.7444,0.6097,0.6233,0.6468,0.677,0.1368
"51",0.0476,0.1351,0.1721,0.107,0.2687,0.1396,0.3003,0.1505,0.1059,0.0062
"52",0.083,0.1704,0.2568,0.1552,0.3935,0.2321,0.3834,0.2518,0.2062,0.0149
"53",0.0673,0.1537,0.2215,0.1313,0.343,0.1925,0.3505,0.2085,0.1613,0.0107
"54",0.1157,0.2093,0.3212,0.2156,0.4798,0.3076,0.4389,0.3337,0.2974,0.0256
"55",0.106,0.1973,0.3032,0.1964,0.4565,0.2862,0.4239,0.3106,0.271,0.0222
"56",0.1602,0.2689,0.3951,0.3136,0.5696,0.3974,0.4974,0.4294,0.4115,0.0441
"57",0.0818,0.1691,0.2543,0.1533,0.3899,0.2293,0.3811,0.2487,0.2029,0.0146
"58",0.1225,0.218,0.3334,0.2297,0.4954,0.3223,0.4489,0.3495,0.3158,0.0281
"59",0.1789,0.2955,0.4225,0.3574,0.6005,0.4311,0.5181,0.4648,0.4549,0.0533
"60",0.2516,0.4029,0.5145,0.5254,0.6947,0.5439,0.5849,0.5809,0.5978,0.0972
"61",0.1588,0.2669,0.3929,0.3103,0.5672,0.3947,0.4958,0.4266,0.4081,0.0435
"62",0.2079,0.3377,0.4617,0.4258,0.6422,0.4793,0.547,0.5148,0.5166,0.0692
"63",0.0787,0.1657,0.2474,0.1483,0.3803,0.2214,0.3749,0.2402,0.1938,0.0137
"64",0.1357,0.2353,0.3561,0.258,0.5235,0.3498,0.4671,0.3788,0.3505,0.0334
"65",0.129,0.2264,0.3447,0.2433,0.5094,0.3359,0.458,0.364,0.3329,0.0306
"66",0.119,0.2134,0.3271,0.2223,0.4874,0.3147,0.4438,0.3413,0.3063,0.0268
"67",0.1749,0.2897,0.4168,0.3479,0.5941,0.424,0.5138,0.4573,0.4458,0.0513
"68",0.1014,0.1917,0.2943,0.1876,0.4447,0.2757,0.4163,0.2991,0.2581,0.0206
"69",0.155,0.2615,0.387,0.3014,0.5603,0.3875,0.4912,0.4189,0.3988,0.0417
"70",0.1443,0.2469,0.3702,0.2771,0.5405,0.3669,0.4782,0.3971,0.3724,0.037
"71",0.2036,0.3314,0.4561,0.4157,0.6365,0.4724,0.5429,0.5078,0.5079,0.0667
"72",0.1177,0.2118,0.3248,0.2196,0.4845,0.3119,0.4419,0.3383,0.3028,0.0263
"73",0.1624,0.2719,0.3983,0.3185,0.5733,0.4013,0.4999,0.4335,0.4166,0.0451
"74",0.1429,0.245,0.368,0.274,0.5378,0.3642,0.4765,0.3942,0.369,0.0364
"75",0.2787,0.4432,0.5441,0.5825,0.7221,0.5797,0.6058,0.617,0.6415,0.1171
"76",0.1903,0.3119,0.4383,0.3842,0.6176,0.4505,0.5298,0.485,0.4798,0.0593
"77",0.1473,0.251,0.375,0.2839,0.5462,0.3728,0.4819,0.4033,0.3799,0.0383
"78",0.1343,0.2335,0.3538,0.255,0.5207,0.3469,0.4653,0.3758,0.3469,0.0328
"79",0.2032,0.3308,0.4556,0.4148,0.6359,0.4718,0.5425,0.5071,0.5071,0.0665
"80",0.1103,0.2026,0.3113,0.2049,0.4671,0.2959,0.4307,0.321,0.2828,0.0237
"81",0.2367,0.3806,0.4972,0.4922,0.678,0.5229,0.5726,0.5595,0.5717,0.0871
"82",0.1326,0.2312,0.3509,0.2513,0.5171,0.3434,0.463,0.3721,0.3425,0.0321
"83",0.2603,0.4159,0.5242,0.5442,0.7039,0.5558,0.5918,0.5929,0.6124,0.1034
